top - 11:07:30 up 13 min,  1 user,  load average: 2,37, 1,96, 1,21
Tasks: 247 total,   2 running, 245 sleeping,   0 stopped,   0 zombie
%Cpu(s): 19,0 us,  6,0 sy,  0,0 ni, 72,0 id,  3,0 wa,  0,0 hi,  0,0 si,  0,0 st
МиБ Mem :   3767,6 total,    162,8 free,   1661,8 used,   1943,0 buff/cache
МиБ Swap:   2048,0 total,   2047,7 free,      0,2 used.   1635,1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    183 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/47-mmc1
    184 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/120-80860F1
    185 root      20   0       0      0      0 I   0,0   0,0   0:00.69 kworker/3:2-events
    186 root     -51   0       0      0      0 S   0,0   0,0   0:00.01 irq/119-ELAN256
    191 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/121-intel_s
    194 root      20   0       0      0      0 I   0,0   0,0   0:02.07 kworker/2:2-events
    195 root      20   0       0      0      0 S   0,0   0,0   0:00.00 spi1
    197 root      20   0       0      0      0 S   0,0   0,0   0:00.00 spi2
    198 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mmc_complete
    200 root      20   0       0      0      0 S   0,0   0,0   0:00.00 spi3
    203 root       0 -20       0      0      0 I   0,0   0,0   0:00.54 kworker/0:2H-events_highpri
    206 root       0 -20       0      0      0 I   0,0   0,0   0:01.08 kworker/3:2H-mmc_complete
    225 root       0 -20       0      0      0 I   0,0   0,0   0:01.00 kworker/2:2H-kblockd
    227 root      20   0       0      0      0 S   0,0   0,0   0:00.18 jbd2/mmcblk0p2-
    228 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ext4-rsv-conver
    266 root      19  -1   51892  18708  16948 S   0,0   0,5   0:01.59 systemd-journal
    297 root      20   0   24072   7680   4124 S   0,0   0,2   0:01.58 systemd-udevd
    303 root       0 -20       0      0      0 S   0,0   0,0   0:00.02 loop0
    307 root       0 -20       0      0      0 S   0,0   0,0   0:00.47 loop1
    313 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop2
    314 root       0 -20       0      0      0 S   0,0   0,0   0:00.03 loop3
    316 root       0 -20       0      0      0 S   0,0   0,0   0:00.06 loop4
    323 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop5
    337 root       0 -20       0      0      0 S   0,0   0,0   0:00.02 loop6
    338 root       0 -20       0      0      0 S   0,0   0,0   0:00.01 loop7
    346 root       0 -20       0      0      0 S   0,0   0,0   0:00.19 loop8
    354 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop9
    355 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop10
    356 root       0 -20       0      0      0 S   0,0   0,0   0:00.11 loop11
    357 root       0 -20       0      0      0 S   0,0   0,0   0:00.06 loop12
    358 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop13
    359 root       0 -20       0      0      0 S   0,0   0,0   0:00.13 loop14
    360 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop15
    361 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop16
    362 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop17
    363 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/129-ACPI:Ev
    378 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/130-mei_txe
    385 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/131-proc_th
    389 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 cfg80211
    399 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/u9:1-hci0
    409 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 sst_post_msg_wq
    411 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/29-intel_ss
    416 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 led_workqueue
    417 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ath10k_wq
    418 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ath10k_aux_wq
    419 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ath10k_tx_compl
    420 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 cryptd
    421 root       0 -20       0      0      0 I   0,0   0,0   0:01.16 kworker/u9:2-i915_flip
    686 systemd+  20   0   24560  13892   9276 S   0,0   0,4   0:01.96 systemd-resolve
    688 systemd+  20   0   90260   6036   5260 S   0,0   0,2   0:00.31 systemd-timesyn
    728 root      20   0  249820   7948   6992 S   0,0   0,2   0:00.25 accounts-daemon
    729 root      20   0    2548    712    644 S   0,0   0,0   0:00.10 acpid
    733 avahi     20   0    8536   3360   3036 S   0,0   0,1   0:00.15 avahi-daemon
    734 root      20   0    8432   4504   4140 S   0,0   0,1   0:00.06 bluetoothd
    736 root      20   0   20580   3028   2820 S   0,0   0,1   0:00.01 cron
    738 root      20   0   39364   8560   7240 S   0,0   0,2   0:00.06 cupsd
    740 message+  20   0    9956   6436   3800 S   0,0   0,2   0:05.02 dbus-daemon
    741 root      20   0  495796  21212  17332 S   0,0   0,5   0:03.10 NetworkManager
    746 root      20   0  231856   6672   5652 S   0,0   0,2   0:00.63 iio-sensor-prox
    749 root      20   0   81900   3852   3496 S   0,0   0,1   0:00.35 irqbalance
    754 root      20   0   50492  20228  12000 S   0,0   0,5   0:00.36 networkd-dispat
    759 root      20   0  252880  11504   7824 S   0,0   0,3   0:05.36 polkitd
    761 syslog    20   0  224356   4760   3724 S   0,0   0,1   0:00.30 rsyslogd
    775 root      20   0 1368076  30404  16728 S   0,0   0,8   0:05.34 snapd
    776 root      20   0  246932   6380   5828 S   0,0   0,2   0:00.07 switcheroo-cont
    777 root      20   0   16756   8020   6964 S   0,0   0,2   0:00.73 systemd-logind
    778 root      20   0  137428   9540   8708 S   0,0   0,2   0:00.20 thermald
    779 root      20   0  393008  12652  10304 S   0,0   0,3   0:00.34 udisksd
    780 root      20   0   14076   9368   8320 S   0,0   0,2   0:00.31 wpa_supplicant
    784 avahi     20   0    8352    324      0 S   0,0   0,0   0:00.00 avahi-daemon
    823 lp        20   0   15336   6640   5844 S   0,0   0,2   0:00.01 dbus
    824 root      20   0  178524  12780  11116 S   0,0   0,3   0:00.19 cups-browsed
    825 lp        20   0   15336   6492   5696 S   0,0   0,2   0:00.01 dbus
    830 root      20   0  313756  10728   9060 S   0,0   0,3   0:00.28 ModemManager
    838 root      20   0  129188  22680  14556 S   0,0   0,6   0:00.31 unattended-upgr
    851 root      20   0       0      0      0 I   0,0   0,0   0:00.51 kworker/u8:3-events_unbound
    873 root      20   0  250980   8924   7756 S   0,0   0,2   0:00.12 gdm3
    922 rtkit     21   1  152940   2872   2632 S   0,0   0,1   0:00.06 rtkit-daemon
   1054 root      20   0  263996  10560   8976 S   0,0   0,3   0:00.70 upowerd
   1138 whoopsie  20   0  400600  15668  13732 S   0,0   0,4   0:00.16 whoopsie
   1139 kernoops  20   0   11264    452      0 S   0,0   0,0   0:00.07 kerneloops
   1141 kernoops  20   0   11264    448      0 S   0,0   0,0   0:00.06 kerneloops
   1288 colord    20   0  257780  14764   9676 S   0,0   0,4   0:00.44 colord
   1353 root      20   0  178772  10080   8548 S   0,0   0,3   0:00.11 gdm-session-wor
